"X","Y"
-1045057.61209064,1088103.87154761
-2053814.74147253,-111907.78871093
-2143998.01661245,-66678.999094167
-1841793.93068093,863767.698366077
-1844868.43646912,811844.399964256
-1224900.63686801,665936.62009983
-2063814.95639842,-109319.808374339
-2463394.8509385,980705.637472184
-1578368.18123391,792357.841614879
-2134927.93522117,-91563.4327999499
-2123253.85339433,-37278.116814344
-1853831.42263279,-85046.3787977429
-2152550.3990032,-105239.698697756
-2125576.01131621,-355693.178493856
-1386752.54373236,710854.29290525
-1224811.12742594,668706.07317837
-1223940.37500343,686031.88278076
-1785327.11734325,790966.641023115
-1345540.1326638,1289981.82744256
-2021404.41902425,-113560.665402007
-1438389.91209787,823788.904025258
-966024.093593056,79071.520919664
-2161549.31004658,-95948.8470923514
-1257864.51107702,738362.317794019
-1221113.01524643,682861.467852555
-2344473.83016613,-28040.3782897008
-1724739.58353851,-392428.973851266
-2088574.44518574,-104839.532131114
-1383681.63740201,729701.641270843
-2183861.03890663,-85299.0899976202
-2065091.91069888,-116341.1473924
-1578446.99321428,777473.981546792
-1935311.87827976,135869.020412252
-1675147.64914553,447730.313121489
-1192085.12382078,954634.249201202
-1226397.64850798,677373.20624293
-2053063.68669349,-315117.755699445
-1841796.92781002,858237.739657624
-1083202.68110323,-145062.21643028
-1510777.06629476,754479.854807555
-1935026.64055715,133123.761062791
-2152363.75189474,-105005.163241276
-2152100.07009826,-49377.9328324427
-2261750.39747353,138744.727739543
-1853714.5773109,-85474.0742504143
-2092848.60736279,-231717.132432725
-1634190.05371124,831043.53341176
-1940071.42396946,142667.15393723
-2013305.18959135,-403549.675445009
-2113335.63312226,-224757.932120846
-1817357.18554644,111330.772798388
-1288294.60001379,653337.079657555
-1426262.63294096,1247278.63152694
-1582477.49969237,792911.914894597
-1604341.29828246,792972.002431903
-2163317.87432928,-363305.150292276
-1358330.76824183,741083.761194233
-1530822.20922716,754869.968358039
-1999230.77221994,-240702.2930338
-1219092.83808283,1424378.25885237
-2038426.74443238,-124210.627391415
-2254911.48707247,134707.215243293
-1550169.58814565,683380.632018129
-1383681.63740201,729701.641270843
-1553686.47998338,803356.194434304
-1078205.16503862,-131174.361202248
-2159750.32739021,-116112.517809175
-1374368.12386438,727377.717452753
-2277103.99981526,80711.1046476944
-2108230.24454311,-365728.593248869
-1850536.02442475,-94353.6038020009
-2271230.39223705,101313.713320109
-2134113.04154188,-55041.7431625614
-2240166.40854705,132544.333470534
-1342585.7092371,655185.539202258
-894965.272728867,1210333.48625998
-2053269.30153832,-81131.6750476953
-2276790.53132514,64363.0142047476
-1238595.6223042,838614.165564904
-1223089.71457549,675960.843964841
-1850780.57519958,-95107.7430897475
-1853777.90839821,-85014.8693577505
-1283919.16817323,704232.439567947
-2127347.92485595,-39366.0620884235
-1575382.59783004,645226.450161949
-1381066.94840887,734497.022288028
-2149782.79739135,-79652.4645444217
-1224715.66925421,666285.241583688
